id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
62489,2015 PUBLIC bikes R16,#WZ5C00615,PUBLIC bikes,R16,2015,['Blue'],True,"San Francisco,94123",1447135200
62525,2015 Specialized Roubaix SL4 Comp Disc,WSBC615008280J,Specialized,Roubaix SL4 Comp Disc,2015,['Black'],True,"San Francisco,94110",1447135200
62524,2015 Trek LEXA S C,WTU342C7037H,Trek,LEXA S C,2015,['Blue'],True,"San Francisco,94110",1447135200
62504,2013 Cannondale Synapse hi mod ultegra,jm61822,Cannondale,Synapse hi mod ultegra,2013,['White'],True,"San Francisco,94131",1447135200
62586,2000 Soulcraft Cyclocross,SOUL 37,Soulcraft,Cyclocross,2000,['Black'],True,"San Francisco,CA,94105",1447135200
62535,2014 Cannondale Quick Sl 3,FM47871,Cannondale,Quick Sl 3,2014,['White'],True,"Berkeley,94703",1447135200
63835,"2015 Marin Bikes Cortina, T3 CX 700C, 520FA",FA15484CQ2278,Marin Bikes,"Cortina, T3 CX 700C, 520FA",2015,['Black'],True,"San Francisco,94111",1447135200
63352,2015 Cannondale Synapse,AM58246,Cannondale,Synapse,2015,['Black'],True,San Francisco,1447135200
62385,Schwinn S2280B,038675228023,Schwinn,S2280B,,['Black'],True,"Berkeley,94709",1447048800
62420,2014 Bianchi Impulso 105 Compact,WBK731841K,Bianchi,Impulso 105 Compact,2014,['Black'],True,"San Francisco,94122",1447048800
62367,2015 Felt V95f,S5LT08402,Felt,V95f,2015,['Black'],True,San Francisco,1447032494
62370,2013 Cannondale Supersix 3 Ultegra,KM73799,Cannondale,Supersix 3 Ultegra,2013,['White'],True,"San Francisco,94122",1446962400
62344,2003 Cannondale Road Warrior 700 HeadShok,absent,Cannondale,Road Warrior 700 HeadShok,2003,['Silver or Gray'],True,"Oakland,94611",1446962400
62584,2015 Felt 9E,F1511L1541,Felt,9E,2015,['Black'],True,"San Francisco,94123",1446962400
62397,2009 Gary Fisher HiFi Pro 29,W139817,Gary Fisher,HiFi Pro 29,2009,['Blue'],True,"Oakland,CA,94611",1446962400
